epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,451.064,2.23532,3.96926,1.76246,1.65899,0,0.31623,0.32171,0.29228,0.10215,0.29041,0.26357,0.24631,0.06626,2.22063,4.0584,1.75384,1.71052,0,0.00188912,0.00188912,0.00188912
30,468.422,2.19902,3.93496,1.70483,1.61207,0,0.25688,0.28295,0.23372,0.1011,0.23266,0.24031,0.20235,0.07027,2.13825,3.97087,1.81224,1.68323,0,0.00188516,0.00188516,0.00188516
31,482.362,2.20973,3.91759,1.73848,1.67523,0,0.28375,0.28682,0.24184,0.09263,0.26996,0.25194,0.20711,0.06099,2.24971,4.11043,1.85731,1.74437,0,0.0018812,0.0018812,0.0018812
32,496.407,2.23581,3.98619,1.77482,1.66421,0,0.28649,0.24806,0.22571,0.09711,0.27865,0.18992,0.1976,0.07046,2.296,4.12438,1.85539,1.78789,0,0.00187724,0.00187724,0.00187724
33,511.005,2.19028,3.87804,1.7544,1.64634,0,0.24051,0.27907,0.20821,0.07848,0.27189,0.19767,0.1772,0.05533,2.35037,4.13709,1.88174,1.80984,0,0.00187328,0.00187328,0.00187328
34,525.326,2.19071,3.90523,1.74692,1.65584,0,0.32813,0.30233,0.26125,0.10051,0.35455,0.25581,0.22161,0.06796,2.18688,4.00912,1.77681,1.72134,0,0.00186932,0.00186932,0.00186932
35,539.783,2.11724,3.77859,1.62312,1.58471,0,0.34523,0.35271,0.31005,0.1219,0.38052,0.24806,0.26408,0.08424,2.2261,4.0326,1.70579,1.76753,0,0.00186536,0.00186536,0.00186536
36,556.033,2.08301,3.77726,1.6019,1.59854,0,0.3044,0.3104,0.26396,0.11211,0.27637,0.25194,0.21809,0.07424,2.18556,4.02741,1.74584,1.75696,0,0.0018614,0.0018614,0.0018614
37,573.082,2.17831,3.85612,1.79519,1.64974,0,0.31955,0.27132,0.25747,0.1018,0.2739,0.23256,0.21311,0.0693,2.23909,3.99965,1.79225,1.76596,0,0.00185744,0.00185744,0.00185744
38,588.737,2.11994,3.86716,1.75018,1.62872,0,0.26069,0.25969,0.24344,0.09482,0.28565,0.21318,0.19187,0.06982,2.13969,3.90871,1.8292,1.68047,0,0.00185348,0.00185348,0.00185348
39,604.483,2.13529,3.88342,1.75882,1.60981,0,0.32803,0.36047,0.27311,0.10546,0.33401,0.31008,0.2522,0.07583,2.22704,4.04007,1.76104,1.72154,0,0.00184952,0.00184952,0.00184952
40,619.636,2.12459,3.79353,1.74902,1.61733,0,0.31745,0.2907,0.25126,0.10033,0.32748,0.25858,0.21162,0.06917,2.14102,4.04586,1.75986,1.70759,0,0.00184556,0.00184556,0.00184556
41,634.554,2.14989,3.88055,1.7057,1.62644,0,0.36003,0.32053,0.2772,0.10878,0.33186,0.2907,0.23732,0.07586,2.14299,4.05746,1.72724,1.68818,0,0.0018416,0.0018416,0.0018416
42,649.674,2.10688,3.78576,1.69344,1.59912,0,0.28717,0.33721,0.25176,0.09235,0.21765,0.33333,0.19725,0.06192,2.31983,4.09679,1.84429,1.77166,0,0.00183764,0.00183764,0.00183764
43,667.931,2.08994,3.78818,1.56812,1.59613,0,0.2874,0.35659,0.29762,0.1186,0.32153,0.25581,0.24293,0.07884,2.1369,3.9526,1.66901,1.6827,0,0.00183368,0.00183368,0.00183368
44,692.773,2.15159,3.83245,1.62703,1.58522,0,0.29736,0.36434,0.29569,0.1139,0.24417,0.3062,0.21902,0.06943,2.16438,4.00195,1.69531,1.71383,0,0.00182972,0.00182972,0.00182972
45,707.618,2.14965,3.91048,1.66542,1.62222,0,0.37329,0.37169,0.32715,0.12658,0.37193,0.29457,0.28042,0.08734,2.16805,3.93978,1.63696,1.70658,0,0.00182576,0.00182576,0.00182576
46,723.025,2.08144,3.75142,1.57966,1.56229,0,0.32812,0.39922,0.30849,0.13014,0.3036,0.34884,0.28264,0.0898,2.07611,3.87656,1.66862,1.6539,0,0.0018218,0.0018218,0.0018218
47,738.013,2.0768,3.77683,1.68652,1.63336,0,0.31923,0.21811,0.22048,0.08171,0.28386,0.18605,0.17647,0.05667,2.24935,4.07402,1.83684,1.74461,0,0.00181784,0.00181784,0.00181784
48,753.025,2.15598,3.85817,1.59087,1.57937,0,0.28711,0.36528,0.27795,0.10382,0.2553,0.31783,0.24393,0.0688,2.17384,4.04484,1.76007,1.69268,0,0.00181388,0.00181388,0.00181388
49,768.66,2.2023,3.92542,1.73794,1.67458,0,0.32419,0.26217,0.24311,0.09493,0.30853,0.22868,0.21586,0.06245,2.18301,3.98752,1.80519,1.71914,0,0.00180992,0.00180992,0.00180992
50,785.49,2.14546,3.86613,1.63415,1.60335,0,0.33983,0.28295,0.26523,0.10396,0.30459,0.23643,0.2186,0.06552,2.1782,4.04368,1.81883,1.73002,0,0.00180596,0.00180596,0.00180596
51,801.871,2.1742,3.8433,1.63728,1.61464,0,0.35906,0.32353,0.30062,0.11608,0.34217,0.29845,0.27747,0.07884,2.17252,4.04291,1.75342,1.7037,0,0.001802,0.001802,0.001802
52,816.791,2.09656,3.81587,1.704,1.61491,0,0.27634,0.28295,0.24277,0.09503,0.28047,0.21908,0.20892,0.06579,2.15346,4.03931,1.77723,1.67202,0,0.00179804,0.00179804,0.00179804
53,832.043,2.12482,3.83732,1.61999,1.60837,0,0.27825,0.2907,0.24181,0.09423,0.25339,0.25194,0.20783,0.06842,2.2094,4.02651,1.77961,1.72905,0,0.00179408,0.00179408,0.00179408
54,846.951,2.063,3.73184,1.62036,1.60843,0,0.42832,0.31395,0.31501,0.12665,0.49559,0.23643,0.27201,0.08508,2.12554,3.93715,1.67122,1.71134,0,0.00179012,0.00179012,0.00179012
55,881.151,2.05117,3.7517,1.56722,1.54515,0,0.27252,0.34884,0.25876,0.10453,0.26922,0.27907,0.21464,0.07299,2.08239,3.83152,1.71948,1.65896,0,0.00178616,0.00178616,0.00178616
56,897.629,2.08476,3.75219,1.57641,1.57657,0,0.30469,0.37597,0.27195,0.10058,0.28859,0.33721,0.25095,0.07778,2.19761,3.91574,1.73076,1.69339,0,0.0017822,0.0017822,0.0017822
57,912.426,2.07011,3.72897,1.5622,1.56516,0,0.29087,0.32558,0.26833,0.10192,0.27176,0.27907,0.21973,0.07267,2.07888,3.85845,1.73733,1.6395,0,0.00177824,0.00177824,0.00177824
58,927.569,2.06398,3.71138,1.52891,1.53649,0,0.30273,0.35675,0.2677,0.10933,0.29136,0.2907,0.2264,0.07221,2.17745,3.98811,1.74843,1.71287,0,0.00177428,0.00177428,0.00177428
59,942.624,2.14151,3.86233,1.6002,1.61584,0,0.36382,0.37984,0.31592,0.12842,0.32614,0.34496,0.27908,0.08809,2.12659,3.9045,1.67154,1.67495,0,0.00177032,0.00177032,0.00177032
60,957.692,2.00954,3.64477,1.54751,1.54834,0,0.32614,0.35271,0.30341,0.12349,0.29004,0.3062,0.25931,0.09041,2.17462,3.86548,1.7153,1.67693,0,0.00176636,0.00176636,0.00176636
61,973.08,2.02758,3.6812,1.55362,1.5548,0,0.40005,0.34633,0.32579,0.13169,0.37166,0.31395,0.27962,0.09209,2.16573,3.85649,1.6815,1.68381,0,0.0017624,0.0017624,0.0017624
62,988.777,2.09932,3.72226,1.56472,1.55737,0,0.38275,0.31783,0.27615,0.11321,0.34037,0.27907,0.23544,0.07817,2.15423,3.92965,1.79607,1.69788,0,0.00175844,0.00175844,0.00175844
63,1003.49,2.09338,3.72277,1.61339,1.58442,0,0.36312,0.31008,0.26859,0.10165,0.32983,0.27132,0.22334,0.07305,2.20822,3.97133,1.82067,1.7352,0,0.00175448,0.00175448,0.00175448
64,1029.95,2.08134,3.71228,1.55398,1.55679,0,0.3898,0.36434,0.30383,0.12318,0.36245,0.34109,0.27723,0.08744,2.119,3.86884,1.63066,1.68474,0,0.00175052,0.00175052,0.00175052
65,1045.41,2.03164,3.69287,1.59697,1.62193,0,0.37385,0.32171,0.28848,0.11111,0.35479,0.29457,0.26282,0.07858,2.16639,3.91846,1.67787,1.71682,0,0.00174656,0.00174656,0.00174656
66,1059.43,2.02272,3.67676,1.59154,1.5764,0,0.36401,0.34109,0.29697,0.10662,0.39785,0.25097,0.24757,0.07249,2.18304,4.03497,1.70891,1.71408,0,0.0017426,0.0017426,0.0017426
67,1074.83,1.99318,3.57051,1.50235,1.49988,0,0.30887,0.25194,0.23664,0.10021,0.26434,0.21866,0.1967,0.0711,2.14961,3.92001,1.80168,1.71808,0,0.00173864,0.00173864,0.00173864
68,1089.28,2.04357,3.68577,1.55673,1.55671,0,0.28221,0.29563,0.2594,0.10964,0.27567,0.26357,0.23682,0.08564,2.20551,3.96966,1.73256,1.75566,0,0.00173468,0.00173468,0.00173468
69,1110.33,2.01479,3.65608,1.54397,1.57547,0,0.29002,0.36434,0.29188,0.119,0.28202,0.30233,0.26116,0.0911,2.17754,3.92053,1.68613,1.70468,0,0.00173072,0.00173072,0.00173072
