epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,528.644,1.98335,3.50501,1.4155,1.49104,0,0.37567,0.35271,0.30491,0.12415,0.32444,0.2907,0.25746,0.08857,2.20422,3.92433,1.68236,1.70917,0,0.0017327,0.0017327,0.0017327
29,543.445,2.0265,3.53282,1.46301,1.5159,0,0.28916,0.35791,0.26472,0.10813,0.28349,0.28984,0.22168,0.08012,2.21547,3.92131,1.72995,1.74112,0,0.0017228,0.0017228,0.0017228
30,563.288,1.97384,3.48741,1.38934,1.46863,0,0.23185,0.33721,0.23325,0.09362,0.19147,0.3062,0.19729,0.06725,2.21192,3.89527,1.79715,1.70091,0,0.0017129,0.0017129,0.0017129
31,577.778,1.98614,3.47257,1.42565,1.4861,0,0.30664,0.28682,0.22106,0.08838,0.29231,0.26357,0.19317,0.06409,2.25337,3.99404,1.76516,1.70801,0,0.001703,0.001703,0.001703
32,592.235,1.96865,3.46607,1.40737,1.47816,0,0.33179,0.33679,0.2844,0.10459,0.34478,0.28682,0.25142,0.08231,2.2108,3.93033,1.74363,1.67442,0,0.0016931,0.0016931,0.0016931
33,605.496,1.96659,3.4118,1.40563,1.45324,0,0.35522,0.32946,0.28352,0.10332,0.32806,0.26357,0.2309,0.07354,2.22099,3.98519,1.81851,1.69603,0,0.0016832,0.0016832,0.0016832
34,618.972,1.98036,3.46043,1.45371,1.49843,0,0.29851,0.29688,0.23347,0.08797,0.32084,0.25194,0.1958,0.06254,2.30419,3.96525,1.83342,1.76471,0,0.0016733,0.0016733,0.0016733
35,632.028,1.89527,3.31059,1.31841,1.436,0,0.41794,0.36047,0.33129,0.1252,0.36278,0.32558,0.29076,0.09472,2.22875,3.87523,1.63959,1.70431,0,0.0016634,0.0016634,0.0016634
36,645.838,1.86881,3.30059,1.31848,1.43841,0,0.33423,0.4031,0.31574,0.11909,0.3338,0.28682,0.2735,0.09229,2.19502,3.79987,1.6512,1.69559,0,0.0016535,0.0016535,0.0016535
37,662.121,1.96737,3.40429,1.45242,1.49762,0,0.34336,0.37209,0.30588,0.11163,0.31483,0.34374,0.2594,0.08208,2.29029,3.89289,1.66651,1.73556,0,0.0016436,0.0016436,0.0016436
