epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,296.54,2.6086,4.21257,1.95654,1.69916,0,0.04581,0.11702,0.02227,0.00694,0.04539,0.09574,0.01727,0.00564,3.76689,689.905,2.82014,6.78507,0,0.00187328,0.00187328,0.00187328
34,305.842,2.64554,4.31798,2.07773,1.72223,0,0.06023,0.25532,0.04715,0.01632,0.06355,0.15957,0.03399,0.0103,2.55246,4.44284,2.31158,2.09793,0,0.00186932,0.00186932,0.00186932
35,314.666,2.73314,4.48326,1.99406,1.72811,0,0.05051,0.28723,0.03817,0.01482,0.06867,0.23404,0.03527,0.01095,2.52113,4.30306,2.35863,2.10732,0,0.00186536,0.00186536,0.00186536
36,323.32,2.62546,4.24607,1.98221,1.72984,0,0.12885,0.18085,0.08742,0.02667,0.144,0.20213,0.0781,0.01994,2.67249,6.60261,2.32848,2.14938,0,0.0018614,0.0018614,0.0018614
37,332.086,2.66907,4.29259,1.9678,1.73463,0,0.20884,0.25532,0.16372,0.04788,0.24752,0.30096,0.18031,0.04183,2.59306,4.75161,2.11802,2.02922,0,0.00185744,0.00185744,0.00185744
38,341.092,2.64901,4.27791,2.15244,1.76964,0,0.20884,0.25532,0.16372,0.04788,0.24752,0.30096,0.18031,0.04183,2.59306,4.75161,2.11802,2.02922,0,0.00185348,0.00185348,0.00185348
39,350.607,2.6605,4.26581,1.87169,1.65069,0,0.22948,0.26596,0.15101,0.04579,0.22948,0.26596,0.12449,0.03423,2.52367,4.23492,2.08297,1.96455,0,0.00184952,0.00184952,0.00184952
40,360.345,2.55819,4.13429,1.93419,1.69265,0,0.18053,0.19149,0.12672,0.0423,0.1941,0.23063,0.11668,0.03481,2.52172,4.32765,2.15006,1.9784,0,0.00184556,0.00184556,0.00184556
41,369.586,2.58689,4.17742,1.87004,1.68174,0,0.2753,0.31915,0.23057,0.07685,0.25059,0.32979,0.21397,0.0604,2.38195,4.23024,2.00901,1.91684,0,0.0018416,0.0018416,0.0018416
42,378.97,2.57598,4.18701,1.86661,1.68376,0,0.29857,0.40426,0.26378,0.08601,0.28195,0.37234,0.23795,0.07199,2.36381,4.13373,1.98998,1.92061,0,0.00183764,0.00183764,0.00183764
43,388.237,2.62952,4.27819,1.94652,1.74623,0,0.23155,0.2766,0.17333,0.05269,0.2355,0.25532,0.1454,0.04035,2.47451,4.2514,2.17921,1.98867,0,0.00183368,0.00183368,0.00183368
44,397.478,2.52619,4.15999,1.85937,1.63797,0,0.18344,0.25532,0.13918,0.0404,0.16215,0.26596,0.10905,0.02881,2.47756,4.28472,2.20137,1.97639,0,0.00182972,0.00182972,0.00182972
45,406.238,2.5483,4.17043,1.94737,1.69651,0,0.18698,0.35106,0.14446,0.04664,0.18698,0.35106,0.123,0.03401,2.3631,4.20188,2.17264,1.95745,0,0.00182576,0.00182576,0.00182576
46,415.028,2.62145,4.26545,1.95716,1.71264,0,0.10818,0.33037,0.08767,0.03091,0.08987,0.24468,0.0676,0.02334,2.30708,4.22182,2.23863,1.94029,0,0.0018218,0.0018218,0.0018218
47,424.298,2.56984,4.16417,1.84923,1.65624,0,0.22756,0.34043,0.15858,0.05073,0.23704,0.29787,0.13649,0.04331,2.35204,4.24084,2.12609,1.87827,0,0.00181784,0.00181784,0.00181784
48,432.831,2.53945,4.25184,1.77976,1.62645,0,0.19746,0.23404,0.15643,0.05685,0.23747,0.18085,0.13922,0.04229,2.46786,4.26479,2.21688,1.91172,0,0.00181388,0.00181388,0.00181388
49,441.148,2.57308,4.16216,1.9869,1.67052,0,0.19746,0.23404,0.15643,0.05685,0.23747,0.18085,0.13922,0.04229,2.46786,4.26479,2.21688,1.91172,0,0.00180992,0.00180992,0.00180992
50,450.098,2.53113,4.19664,1.91013,1.64706,0,0.19551,0.23787,0.17901,0.06813,0.2344,0.24468,0.16141,0.04479,2.53111,4.26123,2.25345,1.97322,0,0.00180596,0.00180596,0.00180596
51,460.126,2.55178,4.21052,1.92282,1.68338,0,0.27461,0.23404,0.19162,0.07091,0.24964,0.21277,0.16324,0.04416,2.49401,4.23339,2.17169,1.97145,0,0.001802,0.001802,0.001802
52,469.206,2.5279,4.12618,1.81168,1.63039,0,0.30348,0.2234,0.18924,0.07017,0.31183,0.2234,0.16113,0.04141,2.50889,4.20766,2.08856,1.97486,0,0.00179804,0.00179804,0.00179804
53,478.341,2.54001,4.20968,1.92033,1.707,0,0.18227,0.26596,0.17734,0.05699,0.21065,0.24468,0.15192,0.0403,2.50135,4.22731,2.1014,1.9834,0,0.00179408,0.00179408,0.00179408
54,493.028,2.48538,4.11181,1.73348,1.60035,0,0.26491,0.25532,0.18147,0.05257,0.2221,0.21277,0.15105,0.04433,2.44089,4.17327,2.03777,1.95295,0,0.00179012,0.00179012,0.00179012
55,503.616,2.47061,4.13164,1.70735,1.58016,0,0.24323,0.25532,0.17465,0.05962,0.19879,0.2234,0.14484,0.04184,2.47378,4.16335,2.06893,1.98481,0,0.00178616,0.00178616,0.00178616
56,512.359,2.55212,4.18709,1.88161,1.63226,0,0.23598,0.25532,0.18053,0.06225,0.21631,0.23404,0.16183,0.04257,2.50142,4.20082,2.06976,2.00018,0,0.0017822,0.0017822,0.0017822
57,521.064,2.5006,4.14136,1.88157,1.60057,0,0.26592,0.2766,0.19861,0.07299,0.22172,0.28723,0.18494,0.04928,2.43405,4.17754,2.05554,1.97377,0,0.00177824,0.00177824,0.00177824
58,529.717,2.48678,4.14805,1.85281,1.62242,0,0.24178,0.30851,0.21209,0.07022,0.23345,0.29787,0.19868,0.04728,2.48482,4.2107,2.024,1.99784,0,0.00177428,0.00177428,0.00177428
59,539.125,2.55842,4.16582,1.77753,1.65,0,0.33036,0.26596,0.2432,0.0857,0.29955,0.25532,0.22014,0.06092,2.59063,4.27639,1.92138,2.10015,0,0.00177032,0.00177032,0.00177032
60,548.204,2.50784,4.17113,1.89776,1.68305,0,0.33036,0.26596,0.2432,0.0857,0.29955,0.25532,0.22014,0.06092,2.59063,4.27639,1.92138,2.10015,0,0.00176636,0.00176636,0.00176636
61,557.267,2.42457,4.10973,1.80666,1.59893,0,0.33834,0.25532,0.25417,0.08419,0.35716,0.26596,0.24661,0.06791,2.55431,4.17039,1.91579,2.00548,0,0.0017624,0.0017624,0.0017624
62,566.662,2.53132,4.13357,1.89445,1.68096,0,0.24259,0.29787,0.23302,0.0916,0.27653,0.2234,0.22853,0.06474,2.47477,4.09746,1.93853,1.98969,0,0.00175844,0.00175844,0.00175844
63,576.249,2.44574,4.10386,1.76119,1.62673,0,0.23603,0.28723,0.2114,0.08376,0.28195,0.30851,0.20835,0.06465,2.39366,4.06825,1.95916,1.92338,0,0.00175448,0.00175448,0.00175448
64,585.728,2.3868,4.0306,1.7986,1.61093,0,0.33117,0.29787,0.25127,0.07956,0.28991,0.23404,0.18133,0.04415,2.38059,4.21459,1.99545,1.92954,0,0.00175052,0.00175052,0.00175052
65,594.734,2.45304,4.11846,1.80311,1.62809,0,0.43297,0.25532,0.28664,0.0936,0.44982,0.20213,0.21058,0.05212,2.44957,4.20548,1.90765,2.00991,0,0.00174656,0.00174656,0.00174656
66,603.543,2.46618,4.16497,1.92793,1.70329,0,0.35304,0.27867,0.25438,0.09192,0.39546,0.20213,0.21258,0.05305,2.55737,4.21481,1.89446,2.0864,0,0.0017426,0.0017426,0.0017426
67,612.16,2.43461,4.07401,1.75591,1.6067,0,0.33154,0.2234,0.21597,0.07812,0.38012,0.2234,0.18174,0.04806,2.56053,4.34342,1.92917,2.06423,0,0.00173864,0.00173864,0.00173864
68,622.791,2.43487,4.04778,1.90938,1.63711,0,0.23388,0.2234,0.18991,0.08207,0.23992,0.20213,0.17827,0.06427,2.34917,4.25089,1.96522,1.90633,0,0.00173468,0.00173468,0.00173468
69,631.323,2.42002,4.08524,1.78332,1.59373,0,0.24856,0.19149,0.18401,0.09317,0.22467,0.20213,0.17058,0.0739,2.27153,4.15101,1.98474,1.84102,0,0.00173072,0.00173072,0.00173072
70,639.876,2.42848,4.08577,1.69958,1.59948,0,0.24856,0.19149,0.18401,0.09317,0.22467,0.20213,0.17058,0.0739,2.27153,4.15101,1.98474,1.84102,0,0.00172676,0.00172676,0.00172676
71,648.536,2.35017,3.9923,1.74179,1.58798,0,0.27115,0.29787,0.22383,0.10342,0.2372,0.26596,0.19941,0.0784,2.25416,4.10041,1.97434,1.83518,0,0.0017228,0.0017228,0.0017228
72,657.166,2.45993,4.10869,1.76938,1.6191,0,0.26457,0.2766,0.23759,0.09444,0.26741,0.24468,0.18978,0.07072,2.29388,4.06986,1.90803,1.88597,0,0.00171884,0.00171884,0.00171884
73,665.751,2.43008,4.12039,1.76503,1.60032,0,0.20438,0.30851,0.21836,0.08291,0.35602,0.15957,0.16631,0.05706,2.39987,4.15305,1.97646,1.96398,0,0.00171488,0.00171488,0.00171488
74,673.964,2.39344,4.04264,1.78076,1.6192,0,0.30044,0.15957,0.14697,0.06728,0.40749,0.12766,0.11303,0.04752,2.44097,4.21299,2.19704,2.02869,0,0.00171092,0.00171092,0.00171092
75,682.526,2.45517,4.10417,1.76242,1.6108,0,0.2984,0.18085,0.1728,0.07314,0.30307,0.17021,0.14542,0.05716,2.44255,4.20231,2.1322,2.01184,0,0.00170696,0.00170696,0.00170696
76,690.651,2.32713,3.9995,1.65568,1.54109,0,0.33,0.24468,0.2489,0.09995,0.30131,0.2234,0.20028,0.07201,2.37289,4.15099,1.98971,1.95869,0,0.001703,0.001703,0.001703
77,698.933,2.39397,3.97439,1.65588,1.56698,0,0.30846,0.29787,0.24798,0.09573,0.29924,0.26804,0.22385,0.06951,2.28309,4.0792,1.90972,1.91688,0,0.00169904,0.00169904,0.00169904
78,707.258,2.38672,4.03863,1.87994,1.64158,0,0.30195,0.30851,0.22642,0.08678,0.27746,0.24468,0.18687,0.06115,2.34232,4.07691,2.08525,1.94547,0,0.00169508,0.00169508,0.00169508
79,715.82,2.43712,4.09793,1.73249,1.62795,0,0.29654,0.29787,0.23464,0.09114,0.25659,0.27174,0.19067,0.05482,2.37341,4.13818,1.89364,1.94411,0,0.00169112,0.00169112,0.00169112
80,723.958,2.33697,3.97628,1.76888,1.57701,0,0.45481,0.32838,0.31639,0.12059,0.36837,0.26596,0.25982,0.08018,2.41542,4.09756,1.84673,1.97021,0,0.00168716,0.00168716,0.00168716
81,732.802,2.37542,4.01964,1.80584,1.63011,0,0.45481,0.32838,0.31639,0.12059,0.36837,0.26596,0.25982,0.08018,2.41542,4.09756,1.84673,1.97021,0,0.0016832,0.0016832,0.0016832
82,741.608,2.32781,3.93797,1.68694,1.58928,0,0.54201,0.21277,0.26534,0.12063,0.48781,0.19149,0.2242,0.08131,2.26237,4.05942,1.98757,1.90752,0,0.00167924,0.00167924,0.00167924
